02/15/2021,,Transaction 26,"$674.92"
02/16/2021,6110,Transaction 27,"-$324.71"
02/17/2021,2749,Transaction 28,"$193.58"
02/18/2021,,Transaction 29,"$78.29"
02/19/2021,,Transaction 30,"-$256.03"
02/22/2021,,Transaction 31,"$546.17"
02/23/2021,,Transaction 32,"$419.34"
02/24/2021,8371,Transaction 33,"-$198.75"
02/25/2021,,Transaction 34,"$320.88"
02/26/2021,,Transaction 35,"$95.62"
03/01/2021,5556,Transaction 36,"-$562.41"
03/02/2021,,Transaction 37,"$235.49"
03/03/2021,3107,Transaction 38,"$617.89"
03/04/2021,,Transaction 39,"$98.76"
03/05/2021,,Transaction 40,"$754.27"
03/08/2021,,Transaction 41,"-$305.68"
03/09/2021,,Transaction 42,"$90.53"
03/10/2021,1887,Transaction 43,"$175.18"
03/11/2021,,Transaction 44,"$456.99"
03/12/2021,,Transaction 45,"$801.67"
03/15/2021,,Transaction 46,"-$634.82"
03/16/2021,4250,Transaction 47,"$520.45"
